product_id,snapshot_date,stock_quantity,inbound_quantity,outbound_quantity,warehouse_code
PROD-101,2024-12-31,78,56,45,WH-ATX
PROD-101,2024-12-24,110,91,4,WH-SFO
PROD-101,2024-12-17,272,27,56,WH-SFO
PROD-101,2024-12-10,24,81,66,WH-SFO
PROD-101,2024-12-03,339,91,84,WH-ATX
PROD-102,2024-12-31,199,88,39,WH-DFW
PROD-102,2024-12-24,26,76,0,WH-ATX
PROD-102,2024-12-17,395,48,98,WH-ATX
PROD-102,2024-12-10,475,31,47,WH-ATX
PROD-102,2024-12-03,102,11,2,WH-DFW
PROD-103,2024-12-31,14,1,43,WH-ATX
PROD-103,2024-12-24,348,85,8,WH-ATX
PROD-103,2024-12-17,490,12,85,WH-ATX
PROD-103,2024-12-10,370,21,5,WH-DFW
PROD-103,2024-12-03,262,13,41,WH-DFW
PROD-104,2024-12-31,287,80,24,WH-SFO
PROD-104,2024-12-24,106,69,50,WH-DFW
PROD-104,2024-12-17,61,29,27,WH-ATX
PROD-104,2024-12-10,182,41,22,WH-ATX
PROD-104,2024-12-03,205,83,40,WH-ATX
PROD-105,2024-12-31,199,27,58,WH-ATX
PROD-105,2024-12-24,33,84,35,WH-SFO
PROD-105,2024-12-17,319,47,5,WH-ATX
PROD-105,2024-12-10,453,27,52,WH-DFW
PROD-105,2024-12-03,392,76,63,WH-ATX
PROD-106,2024-12-31,364,68,72,WH-ATX
PROD-106,2024-12-24,128,12,76,WH-DFW
PROD-106,2024-12-17,323,89,49,WH-SFO
PROD-106,2024-12-10,473,98,88,WH-ATX
PROD-106,2024-12-03,170,22,81,WH-SFO
PROD-107,2024-12-31,162,85,61,WH-ATX
PROD-107,2024-12-24,171,2,77,WH-SFO
PROD-107,2024-12-17,229,48,65,WH-SFO
PROD-107,2024-12-10,379,29,64,WH-SFO
PROD-107,2024-12-03,360,1,29,WH-ATX
PROD-108,2024-12-31,315,97,15,WH-DFW
PROD-108,2024-12-24,121,94,54,WH-ATX
PROD-108,2024-12-17,317,10,7,WH-ATX
PROD-108,2024-12-10,191,63,37,WH-ATX
PROD-108,2024-12-03,77,48,26,WH-SFO
PROD-109,2024-12-31,19,30,92,WH-SFO
PROD-109,2024-12-24,484,56,94,WH-DFW
PROD-109,2024-12-17,68,35,40,WH-SFO
PROD-109,2024-12-10,402,97,5,WH-SFO
PROD-109,2024-12-03,405,53,82,WH-DFW
PROD-110,2024-12-31,384,3,29,WH-SFO
PROD-110,2024-12-24,169,43,31,WH-ATX
PROD-110,2024-12-17,276,6,85,WH-ATX
PROD-110,2024-12-10,410,87,89,WH-SFO
PROD-110,2024-12-03,113,77,48,WH-SFO
PROD-111,2024-12-31,164,23,56,WH-SFO
PROD-111,2024-12-24,3,8,62,WH-ATX
PROD-111,2024-12-17,488,24,6,WH-SFO
PROD-111,2024-12-10,72,26,16,WH-ATX
PROD-111,2024-12-03,88,75,70,WH-ATX
PROD-112,2024-12-31,120,64,10,WH-DFW
PROD-112,2024-12-24,371,59,39,WH-ATX
PROD-112,2024-12-17,369,25,31,WH-DFW
PROD-112,2024-12-10,90,77,31,WH-DFW
PROD-112,2024-12-03,146,73,57,WH-SFO
PROD-113,2024-12-31,103,34,100,WH-DFW
PROD-113,2024-12-24,40,46,50,WH-DFW
PROD-113,2024-12-17,85,60,56,WH-DFW
PROD-113,2024-12-10,258,78,94,WH-DFW
PROD-113,2024-12-03,389,19,61,WH-ATX
PROD-114,2024-12-31,390,48,54,WH-ATX
PROD-114,2024-12-24,388,38,76,WH-SFO
PROD-114,2024-12-17,78,70,93,WH-ATX
PROD-114,2024-12-10,131,48,59,WH-DFW
PROD-114,2024-12-03,232,36,48,WH-SFO
PROD-115,2024-12-31,310,61,9,WH-DFW
PROD-115,2024-12-24,69,91,60,WH-ATX
PROD-115,2024-12-17,79,24,0,WH-ATX
PROD-115,2024-12-10,441,64,93,WH-SFO
PROD-115,2024-12-03,191,62,51,WH-DFW
PROD-116,2024-12-31,481,50,95,WH-DFW
PROD-116,2024-12-24,196,62,39,WH-SFO
PROD-116,2024-12-17,301,9,52,WH-ATX
PROD-116,2024-12-10,471,15,49,WH-SFO
PROD-116,2024-12-03,83,24,97,WH-DFW
PROD-117,2024-12-31,490,32,98,WH-SFO
PROD-117,2024-12-24,178,65,90,WH-DFW
PROD-117,2024-12-17,325,88,47,WH-SFO
PROD-117,2024-12-10,29,83,49,WH-DFW
PROD-117,2024-12-03,376,31,31,WH-DFW
PROD-118,2024-12-31,17,46,80,WH-SFO
PROD-118,2024-12-24,346,3,89,WH-SFO
PROD-118,2024-12-17,330,18,33,WH-SFO
PROD-118,2024-12-10,233,87,18,WH-DFW
PROD-118,2024-12-03,126,77,74,WH-SFO
PROD-119,2024-12-31,430,20,1,WH-ATX
PROD-119,2024-12-24,394,11,82,WH-SFO
PROD-119,2024-12-17,469,49,50,WH-SFO
PROD-119,2024-12-10,300,10,66,WH-ATX
PROD-119,2024-12-03,448,54,21,WH-DFW
PROD-120,2024-12-31,129,88,38,WH-SFO
PROD-120,2024-12-24,495,68,84,WH-DFW
PROD-120,2024-12-17,300,39,93,WH-DFW
PROD-120,2024-12-10,385,93,11,WH-ATX
PROD-120,2024-12-03,325,73,99,WH-DFW
