order_item_id,order_id,product_id,quantity,unit_price,discount_amount,created_at,updated_at
OI-00001-1,ORD-00001,PROD-128,1,237.63,20.99,2024-06-15 10:51:39,2024-06-15 10:51:39
OI-00002-1,ORD-00002,PROD-122,1,896.26,0,2024-02-10 14:55:19,2024-02-10 14:55:19
OI-00002-2,ORD-00002,PROD-111,1,831.12,0,2024-02-10 14:55:19,2024-02-10 14:55:19
OI-00003-1,ORD-00003,PROD-107,3,52.73,14.29,2024-06-27 13:46:52,2024-06-27 13:46:52
OI-00003-2,ORD-00003,PROD-110,1,152.58,17.69,2024-06-27 13:46:52,2024-06-27 13:46:52
OI-00004-1,ORD-00004,PROD-121,1,261.06,0,2024-08-25 20:36:48,2024-08-25 20:36:48
OI-00004-2,ORD-00004,PROD-110,3,152.58,0,2024-08-25 20:36:48,2024-08-25 20:36:48
OI-00004-3,ORD-00004,PROD-129,1,263.71,0,2024-08-25 20:36:48,2024-08-25 20:36:48
OI-00005-1,ORD-00005,PROD-105,4,798.17,0,2024-06-07 15:28:02,2024-06-07 15:28:02
OI-00005-2,ORD-00005,PROD-106,1,210.4,0,2024-06-07 15:28:02,2024-06-07 15:28:02
OI-00005-3,ORD-00005,PROD-140,2,29.92,0,2024-06-07 15:28:02,2024-06-07 15:28:02
OI-00006-1,ORD-00006,PROD-133,2,754.46,160.16,2024-09-13 10:03:28,2024-09-13 10:03:28
OI-00007-1,ORD-00007,PROD-125,1,327.41,0,2024-09-25 16:39:10,2024-09-25 16:39:10
OI-00007-2,ORD-00007,PROD-127,3,631.92,26.87,2024-09-25 16:39:10,2024-09-25 16:39:10
OI-00007-3,ORD-00007,PROD-122,4,896.26,389.19,2024-09-25 16:39:10,2024-09-25 16:39:10
OI-00008-1,ORD-00008,PROD-123,4,284.29,120.91,2024-11-04 21:09:21,2024-11-04 21:09:21
OI-00008-2,ORD-00008,PROD-120,1,455.08,0,2024-11-04 21:09:21,2024-11-04 21:09:21
OI-00009-1,ORD-00009,PROD-128,3,237.63,33.03,2024-11-25 20:21:52,2024-11-25 20:21:52
OI-00010-1,ORD-00010,PROD-105,1,798.17,0,2024-06-23 20:31:12,2024-06-23 20:31:12
