payment_id,order_id,payment_method,amount,status,payment_date,payment_timestamp,created_at,updated_at
PAY-00001,ORD-00001,PAYPAL,216.64,CAPTURED,2024-06-15,2024-06-15 10:51:39,2024-06-15 10:51:39,2024-06-15 10:51:39
PAY-00002,ORD-00002,PAYPAL,1727.38,REFUNDED,2024-02-10,2024-02-10 14:55:19,2024-02-10 14:55:19,2024-02-10 14:55:19
PAY-00002-R,ORD-00002,PAYPAL,1727.38,REFUNDED,2024-02-10,2024-02-10 14:55:19,2024-02-10 14:55:19,2024-02-10 14:55:19
PAY-00003,ORD-00003,DEBIT_CARD,278.79,REFUNDED,2024-06-27,2024-06-27 13:46:52,2024-06-27 13:46:52,2024-06-27 13:46:52
PAY-00004,ORD-00004,APPLE_PAY,982.51,CAPTURED,2024-08-25,2024-08-25 20:36:48,2024-08-25 20:36:48,2024-08-25 20:36:48
PAY-00005,ORD-00005,PAYPAL,3462.92,CAPTURED,2024-06-07,2024-06-07 15:28:02,2024-06-07 15:28:02,2024-06-07 15:28:02
PAY-00006,ORD-00006,PAYPAL,1348.76,CAPTURED,2024-09-13,2024-09-13 10:03:28,2024-09-13 10:03:28,2024-09-13 10:03:28
PAY-00007,ORD-00007,PAYPAL,5392.15,CAPTURED,2024-09-25,2024-09-25 16:39:10,2024-09-25 16:39:10,2024-09-25 16:39:10
PAY-00008,ORD-00008,GIFT_CARD,1471.33,CAPTURED,2024-11-04,2024-11-04 21:09:21,2024-11-04 21:09:21,2024-11-04 21:09:21
PAY-00009,ORD-00009,GIFT_CARD,679.86,CAPTURED,2024-11-25,2024-11-25 20:21:52,2024-11-25 20:21:52,2024-11-25 20:21:52
PAY-00010,ORD-00010,DEBIT_CARD,1176.22,CAPTURED,2024-06-23,2024-06-23 20:31:12,2024-06-23 20:31:12,2024-06-23 20:31:12
PAY-00011,ORD-00011,DEBIT_CARD,1775.38,CAPTURED,2024-11-12,2024-11-12 10:38:24,2024-11-12 10:38:24,2024-11-12 10:38:24
PAY-00012,ORD-00012,DEBIT_CARD,1740.04,CAPTURED,2024-05-25,2024-05-25 20:47:50,2024-05-25 20:47:50,2024-05-25 20:47:50
PAY-00013,ORD-00013,DEBIT_CARD,2621.55,CAPTURED,2024-07-14,2024-07-14 16:33:26,2024-07-14 16:33:26,2024-07-14 16:33:26
PAY-00014,ORD-00014,PAYPAL,3266.4,CAPTURED,2024-03-04,2024-03-04 12:05:48,2024-03-04 12:05:48,2024-03-04 12:05:48
PAY-00015,ORD-00015,PAYPAL,4700.0,CAPTURED,2024-07-10,2024-07-10 11:01:20,2024-07-10 11:01:20,2024-07-10 11:01:20
PAY-00016,ORD-00016,CREDIT_CARD,1042.04,CAPTURED,2024-12-27,2024-12-27 15:28:39,2024-12-27 15:28:39,2024-12-27 15:28:39
