category,subcategory,department
ELECTRONICS,AUDIO,Tech
ELECTRONICS,TV,Tech
ELECTRONICS,LAPTOP,Tech
ELECTRONICS,PHONE,Tech
ELECTRONICS,WEARABLE,Tech
APPAREL,MENS,Fashion
APPAREL,WOMENS,Fashion
APPAREL,KIDS,Fashion
APPAREL,FOOTWEAR,Fashion
HOME,KITCHEN,Home & Living
HOME,FURNITURE,Home & Living
HOME,DECOR,Home & Living
HOME,BEDDING,Home & Living
GROCERY,SNACKS,Food
GROCERY,BEVERAGES,Food
GROCERY,PANTRY,Food
BEAUTY,SKINCARE,Beauty
BEAUTY,HAIRCARE,Beauty
BEAUTY,FRAGRANCE,Beauty
SPORTS,FITNESS,Sports
SPORTS,OUTDOOR,Sports
